maori word,use instead of,related term,broader term
Matuku moana," Herons, White-faced; White-faced herons", , Manu ki tātahi
Matuku roimata, , , Mauwha
Matuku tai," Blue herons; Herons, Blue", , Manu ki tātahi
Mau koikoi, , Koikoi, Mau rākau
Mau patu, , Patu, Mau rākau
Mau pouwhenua, , Mau taiaha; Pouwhenua, Mau rākau
Mau rākau," Arts, Martial; Martial arts", Tūmatauenga, Mahi ā Rēhia + Rākau ā Tū + Whakairo
Mau taiaha, , Mau pouwhenua; Taiaha, Mau rākau
Mau tewhatawha, , Tewhatewha, Mau rākau
Mauhere, Mau herehere; Tangata e whakapaea ana; Prisoners, Hara; Mātauranga haratūtanga; Ture hara, Whare herehere
Māui, , Tama-nui-te-rā, Atua
Maunga, Mountains; Mauka, Papatūānuku; Pepeha; Tūpuna; Whakapapa; Whenua, Taiao
Mauri, , Aronganui; Hauora wairua, Tikanga tuku iho
Mautohe, Hīkoi; Porotēhe; Porotēhi; Tohe; Activism; Demonstrations; Occupations (Protests); Protests; Resistance, Rōpū tōrangapū; Taukumekume; Tautohetohe; Tōrangapū, Mana motuhake
Mauwha, Shrubs, Aka; Huruhuru whenua; Otaota; Otaota hāwere; Pūkohu; Rākau whakakake; Rākau whakaruruhau; Rākau whakauru; Whara, Te Wao nui a Tāne
Māwhitiwhiti, Grasshoppers, , Aitanga pepeke
Mea tākaro, Toys; Kaupeka, Taputapu, Tākaro
Mema Pāremata, Mema; Members of Parliament; MPs, Kaitōrangapū; Tiriti o Waitangi, Pāremata
Mere," Meremere (Rākau ā Tū); Clubs, Greenstone; Clubs, Stone; Greenstone clubs; Stone clubs", Patu, Rākau ā Tū
Meremere, , Kōpū (Whetū kōkiri), Whetū
Mīhana, Mission stations; Missions, Whare karakia, Hāhi Karaitiana
Mihi, Acknowledgement; Greeting, , Whaikōrero + Whakatau
Mihi whakatau," Welcome, Informal", , Mihi
Mihinare, Mihingare; Missionaries, , Mīhana
Mihini ātea," Computer game consoles; Consoles, Computer game; Consoles, Space invaders; Consoles, Video games; Space invaders consoles; Video game consoles", , Rorohiko tākaro
Mingimingi, , , Mauwha
Mirimiri, Romiromi; Massage, , Hauora tinana
Miro, , , Hua rākau + Rākau whakakake
Miromiro," North Island tomtits; Tomtits, North Island", , Manu ngahere
Moa, , , Manu ngaro
Moana," Freshwater plants; Marine plants; Plants, Freshwater; Plants, Marine; Sea", Ika; Ponaturi; Rāhui; Tangaroa; Taunahanahatanga; Te Wao nui a Tāne; Wai tai, Pūtaiao
Moari," Swings, Traditional; Traditional swings", , Mahi ā Rēhia
Moe, Sleep, Hauora wairua, Hauora hinengaro + Hauora tinana
Moeanu, Needlefishes, , Ika moana
Moemoeā, Dreams, Matakite, Moe
Moheni, Hautaka; Maheni; Makahini; Journals; Magazines; Periodicals; Serials, Kawe kōrero; Nūpepa; Pūrongorongo, Pāpāho + Tuhinga kōrero
Mohimohi, Pilchards, , Ika moana
Mōhio ki te kōrero pukapuka, Literacy, Mōhio ki te tatau, Kōrero pukapuka
Mōhio ki te tatau, Numeracy, Mōhio ki te kōrero pukapuka, Pāngarau
Mōhiotanga, Knowledge, Ōrokohanga o te ao; Pūmanawa, Mātauranga
Mohua," Bush canaries; Canaries, Bush; Yellowheads", , Manu ngahere
Mōkai, Pets, , Kararehe whāngote
Mōkai (Tikanga), Servants; Slaves through custom, Taurekareka, Tāngata + Tikanga
Mōkai (Whanaungatanga)," Children, Favoured; Favoured children", , Whanaungatanga
Mōkihi, Rafts, Raupō, Waka
Mokimoki," Ferns, Fragrant; Fragrant ferns", , Huruhuru whenua
Moko kauwae," Tattoos, Facial", , Tā moko (Tā ngira) + Tā moko (Uhi)
Mokomoko, Geckos; Lizards; Skinks, , Ngārara
Mokopuna, Grandchild, , Whānau
Momotuhi, Fonts; Typefaces, , Waka toi + Whakairo
Monoao, Turpentine bushes, , Mauwha
Mōteatea, Laments (Traditional); Traditional laments, Tangihanga, Mahi ā Rēhia + Reo Māori + Waiata koroua
Motuhuka, Icebergs, , Hukapapa
Mouku," Mauku; Mouki; Ferns, Hen and chicken; Hen and chicken ferns", Pikopiko (Kai), Huruhuru whenua
Mounu, Bait (Fishing), , Taputapu hī ika
Mu, Lattice work patterns, , Tukutuku
Muru," Compensation, Traditional; Plunder, Traditional; Restorative justice, Traditional; Traditional compensation; Traditional plunder; Traditional restorative justice", Hara; Raupatu; Utu; Whakatau mauri; Whakatau take, Tikanga tuku iho
Muru whenua," Confiscation, Land; Land confiscation", Kerēme (Tiriti o Waitangi); Raupatu; Whenua raupatu; Whenua tautohetohe, Muru + Whenua
Nakunaku, Digestion, , Ara kai
Nanekoti, Nanny goats, , Koati
Nēhi, Tapuhi; Nurses, , Kaimahi (Ora) + Mahi tapuhi
Neinei, Emiemi; Taritari āwhā, , Rākau whakauru
Neke, , , Tōanga waka
Ngā Pakanga Whenua o Mua," Ngā Pakanga o Aotearoa; Pakanga o Aotearoa, Ngā; Pakanga Whenua o Mua, Ngā; Land wars; New Zealand Wars; Wars, Land; Wars, New Zealand", , Pakanga
Ngā tae, Kara (Ngā tae); Tae; Colours; Kano, Āniwaniwa; Uenuku, Taiao
Ngā uri o Tangaroa," O te moana; Uri o Tangaroa, Ngā; Marine life", Hī ika; Ingoa; Tangaroa, Pūtaiao
Ngahuru, Autumn, , Wāhanga o te tau
Ngaio, , , Rākau whakauru
Ngākaipikirau," Tattoos, Facial", , Tā moko (Tā ngira) + Tā moko (Uhi)
Ngāngara, Gastropods; Invertebrates, , Ngārara
Ngārara, Invertebrates; Molluscs; Reptiles, Ingoa; Taniwha, Pūtaiao
Ngārara pī, Methamphetamine abuse; P abuse, , Rongoā whakairangi
Ngārara waewae-kore," Invertebrates, Legless; Legless invertebrates", , Ngāngara
Ngaro, Bees; Flies; Wasps, , Aitanga pepeke
Ngāwhā," Ngāwhāriki; Springs, Sulphur; Sulphur springs", Pahūtanga, Waiariki
Ngeri, Chants, Haka, Waiata koroua
Ngeru, Puihi; Cats; Poti; Tori, , Mōkai
Ngirungiru," South Island tomtits; Tomtits, South Island", , Manu ngahere
Ngohe," Akoranga; Hei mahi; Kaupapa whakatīeke; Mahi whakatīeke; Activities, Learning; Learning activities; Learning tasks; Tasks, Learning", , Ako
Ngōiro," Conger eels; Eels, Conger", , Tuna
Ngūnga," Tattoos, Facial", , Tā moko (Tā ngira) + Tā moko (Uhi)
Nguru," Flutes; Flutes, Nose; Nose flutes", Hineraukatauri; Kōauau; Kōauau ponga ihu; Ororuarangi; Ponga ihu; Pōrutu; Pūmotomoto; Pūtōrino; Rehu, Taonga pūoro
Ngutu pare," Plovers, Wry billed; Wry billed plovers", , Manu ki tātahi
Niho taniwha, Lattice work patterns, , Tukutuku
Nīkau," Kaihuia; Nīkau palms; Palms, Nīkau", , Rākau whakauru
Niu," Ceremonies, Divination", , Tikanga
Noa, , Atua; Tapu, Tikanga
Noho-ā-iwi, Race relations, Iwi; Rangahau o te noho-ā-iwi, Marau-ā-iwi
Noke, Worms, , Ngārara waewae-kore
Nūpepa, Niupepa; Newspapers, Kawe kōrero; Moheni; Pūrongorongo, Pāpāho + Tuhinga kōrero
Ō kawekawe," Material world; World, Material", Rūaumoko, Pūtaiao
Ōhākī, Dying wishes, Tāngata; Whenua, Reo Māori + Tikanga
Ōhanga, Economy, Pēke; Pūtea; Tauhokohoko; Tuku ratonga, Ohaoha
Ōhanga whanaketanga," Development, Economic; Economic development", Whakapakari ā-iwi, Ōhanga
Ohaoha, Economics, Tāke,
Ōi," Muttonbirds, North Island; North Island muttonbirds", , Manu moana
Oioi," Jointed rushes; Rushes, Jointed", Toetoe, Whara
Onioni," Intercourse, Sexual; Sexual intercourse", , Taihemahema
Ōpango, All Blacks, Kaitākaro whutupōro, Whutupōro
Ora, Alive; Living; Well-being, Whakapakari ā-iwi, Hauora
Ore-rākau a tū, Harpoons, , Rākau ā Tū
Oriori, Pōpō; Lullabies, , Waiata koroua
Oro puare, Tohu oro; Vowels, , Mātauranga wetereo
Ōrokohanga o te ao, Cosmogeny; Cosmogony; Creation of the universe, Hawaiiki; Ira; Mōhiotanga; Papatūānuku; Pūrākau; Ranginui; Whakapapa, Atua
Ororeo," Arapū; Tātai reo; Alphabet, Māori", , Mātauranga wetereo
Ororuarangi, Flutes, Hinepūtehue; Hineraukatauri; Hue puruhau; Hue puruwai; Kōauau; Kōauau ponga ihu; Nguru; Poiāwhiowhio; Ponga ihu; Pōrutu; Pūmotomoto; Pūtōrino; Rarā; Rehu, Taonga pūoro
Otaota, Grasses; Herbaceous plants, Aka; Huruhuru whenua; Mauwha; Otaota hāwere; Pūkohu; Rākau whakakake; Rākau whakaruruhau; Rākau whakauru; Whara, Te Wao nui a Tāne
Otaota (Kai), Vegetables, Pūtake; Rīwai, Hua whenua
Otaota hāwere, Epiphytes; Epiphytic plants, Aka; Huruhuru whenua; Mauwha; Otaota; Pūkohu; Rākau whakakake; Rākau whakaruruhau; Rākau whakauru; Whara, Te Wao nui a Tāne
Otaota waimāori," Freshwater plants; Plants, Freshwater", Rimutai, Moana
Pā, Villages, , Tāngata whenua
Pā (Hī ika), Fish weirs, , Taputapu hī ika
Pā punanga, Refuges, Pakanga, Pā
Pā tūwatawata, , , Pā
Pā whutupāoro," Pā whutupōro; Whutupōro whakapā; Rugby, Touch; Touch rugby; Pāpāpāoro", , Hākinakina
Pae pāpāho pāpori," Media, Social; Social media", , Pāpāho
Pae tukutuku, Paetukutuku; Tūranga tukutuku; Websites, Rorohiko, Ipurangi
Paea, Swordfishes, , Ika moana
Paenga kōrero, Anthologies, , Tuhinga kōrero
Paepae," Tattoos, Facial", , Tā moko (Tā ngira) + Tā moko (Uhi) + Whare whakairo
Paewai, , , Waka
Pāhau kākāpo," Giant mosses; Mosses, Giant", , Pūkohu
Pāhautea," Cedars, New Zealand; New Zealand cedars", , Rākau whakakake
Pahikara, Cycling, , Hākinakina
Pahū," Drums; Instruments, Wooden; Wooden instruments", Pūkaea; Tānemāhuta; Tūmatakōkiri, Taonga pūoro
Pahūtanga," Hūnga; Eruptions, Volcanic; Volcanic eruptions", Ngāwhā; Rūaumoko, Aituā (Taiao)
Pai Mārire, , Hauhau; Kīngitanga, Hāhi Māori
Paihamu, Paihama; Opossums; Possums, , Kararehe whāngote
Paihana, Poison, Paihana ā kai, Mātauranga matū
Paihana ā kai," Food poisoning; Poisoning, Food", Paihana, Take hauora
Paipera Tapu, Bible, Hīmene; Wairua, Whakapono
Pakahā," Fluttering shearwaters; Shearwaters, Fluttering", , Manu moana
Pākaiahi, , , Waka
Pakake, Carving patterns (Whales), , Whakairo
Pakanga, Kakari; Matawhāura; Whawhai; Wars, Ahi marae; Kaitangata; Pā punanga; Ringa kaha; Tūmatauenga,
Pakati, Carving patterns (Dog's tooth), , Whakairo
Pākau, Manu pākaukau; Pākaukau; Kites (Framed); Kites (Rushes), Raupō, Manu (Whakaraka)
Pākē," Capes, Rain; Rain capes", , Whatu kākahu
Pākehā, , Tuakiri, Tauiwi
Pakeke, Taipakeke; Adults, Kaumātua; Taitamariki, Whānau
Pakeke whai mātauranga," Adult education; Education, Adult", , Mātauranga
Paki, Dry weather, , Āhua-o-te-rangi
Pakihi," Business enterprises; Enterprises, Business; Firms", Umanga,
Pakipūmeka, Documentaries, , Pāpāho
Pakitara, , , Whare whakairo
Pakiwaitara, Kōrero parau; Fiction; Short stories, Kōrero paki mā ngā tamariki; Pūrākau, Tuhinga kōrero
Pakiwaituhi," Cartoons; Comics; Graphic novels; Novels, Graphic", Pukapuka whakaahua; Whakaahua, Tuhinga kōrero
Pakokori, , , Waka
Pakura, Carving patterns (Spiral), Pūkeko, Whakairo
Pākuru," Instruments, Percussion; Percussion instruments", Hinemoana; Tangaroa, Taonga pūoro
Paneke," Boats, Flat-bottomed; Flat-bottomed boats", , Waka
Pāngarau, Mathematics, Inenga; Rahi, Pūtaiao
Pāniwhaniwha," Maomao, Pink; Pink maomao", , Ika moana
Pānui pukapuka, Readers, , Matareo + Tuhinga kōrero
Pānuitanga mate, Death notices, Matenga; Tangihanga, Maimai aroha
Pānuitanga whakatairanga," Pānuitanga hoko; Advertisements; Advertising; Notices, Public; Public notices", Mahi hokohoko, Ao pāpāho + Pouaka whakaata + Reo irirangi
Pao, Ditties (Humourous), Ruri, Waiata koroua + Whaikōrero
Pao mīere, , , Hāhi Māori
Papa, Floors, , Whare whakairo
Pāpā, Hākoro; Matua; Matua kēkē; Fatherhood; Fathers; Uncles, Kaiako; Koroua; Mātua, Whānau
Papa hokohoko, Shopping centres, , Hokohoko
Papa retireti, Skateboarding, , Hākinakina
Papa whenua, Ā whenua; Mātai matawhenua; Takotoranga papa; Geography, Mahere whenua, Pūtaiao
Pāpāho, Pāho; Paoho; Pāoho; Whakapaoho; Mass media, Kōrero,
Papaka, Skirting boards, , Whare whakairo
Pāpaka, Crabs, Kaimoana; Kōura, Ngā uri o Tangaroa
Papakāinga," Papa kaīnga; Ancestral dwellings; Dwellings, Ancestral", Ahi kā; Kaitiakitanga; Mana whenua; Tūrangawaewae; Whaipara tangata; Whare noho; Whenua tupuna, Pā
Papakupu, Pukapuka taki kupu; Pukapuka whakamārama; Tikinare; Dictionaries, Tuhinga kōrero, Reo Māori
Papatūānuku, Earth mother, Mātauranga mahere whenua; Maunga; Ōrokohanga o te ao; Pūngao ngāwhā; Rū whenua; Wai; Whenua; Whenua (Wāhine), Atua
Parakaingaki," Effluent; Sewage; Waste water; Water, Waste", , Tūkinotanga ā-taiao
Parāoa, Bread, , Tunu kai
Parapara," Birdcatching trees; Trees, Birdcatching", , Rākau whakaruruhau
Pararā," Pekehā; Broad-billed prions; Prions, Broad-billed", , Manu moana
Pare, , , Whare whakairo
Pareārau, Kōpūnui; Jupiter, , Whetū kōkori
Pāremata, Pāremete; Parliament, Kaitōrangapū; Kōwhiringa pōti; Pōtitanga; Pōtitanga ohorere Pāremata; Rōpū tōrangapū; Tiriti o Waitangi; Ture, Kāwanatanga
Pārera," Parera; Ducks, Grey; Grey ducks", , Manu waimāori
Pārerarera, Kaupārerarera; Plaintains, , Otaota
Parore," Kopīpiro; Ngaōheohe; Parakoka; Black breams; Breams, Black; Fishes, Mangrove; Mangrove fishes", , Ika waitai
Pārurenga, Marurenga; Mārurenga; Ngohi; Patunga; Victims; Victims of crime; Victims of violence, Mātauranga haratūtanga, Hara + Muru + Tūkinotanga
Pātaka, Storehouses, , Whare
Pate, Kōtētē; Patetē; Seven-fingers (Plants), , Rākau whakauru
Pāteke," Brown ducks; Ducks, Brown", , Manu waimāori
Pātengi raraunga, Databases, , Pāngarau
Pātere," Abusive songs; Songs, Abusive", Kaioraora, Waiata koroua
Pātiki," Mohoao; Flounders, Sand; Sand flounders", Tāmure, Ika o ngā ngutu awa + Ika waitai
Pātītī, , Toetoe, Whara
Pātōtara," Oranges, Māori", , Otaota
Patu," Patu poto; Clubs, Hand; Hand clubs", Mau patu; Mere, Rākau ā Tū
Patu ahi," Fighting, Fire; Fire fighting", , Ratonga ahi
Patu onewa," Hand clubs, Stone; Stone hand clubs", , Patu
Patu parāoa," Hand clubs, Whalebone; Whalebone hand clubs", , Patu
Patu tamariki, Child abuse (Physical), , Tūkinotanga
Pātuki," Clubs, Hand; Hand clubs", , Rākau ā Tū
Patupaiarehe, Korakorako; Kura; Maeroero; Pakepakehā; Tahurangi; Taipō; Tūrehu; Fairies; Fairy folk, Kōauau; Kupenga; Ponaturi; Pūtōrino, Ao wairua
Pāua, Abalone, Kaimoana, Pūpū waitai
Pāwaha," Tattoos, Facial", , Tā moko (Tā ngira) + Tā moko (Uhi)
Peka ā waka," Bamboo orchids; Orchids, Bamboo", , Otaota hāwere
Pekapeka, Bats, , Kararehe whāngote
Pekapeka (Whakakai), Adornments (Bats); Jewellery (Bats), Pounamu, Whakakai
Pēke, Whare pūtea; Whare tiaki moni; Banking; Banks, Ōhanga, Pūtea
Pēpē, Pēpi; Piripoho; Babies, Kōhanga reo; Tamariki nohinohi, Whānau
Pepeha," Mottos, Tribal; Tribal mottos", Kīrehu; Kīwaha; Maunga; Taunahanahatanga; Whakatauākī; Whakataukī; Whenua, Kōrero
Peruperu (Haka), , , Haka
Petako, Spleenworts., , Huruhuru whenua
Petako pāraharaha," Sickle spleenworts; Spleenworts, Sickle", , Huruhuru whenua + Otaota hāwere
Petipeti, Gambling, , Kahungatanga
Pia," Chewing gums; Gums, Chewing; Gums, Tree; Tree gums", , Kai
Pia mānuka, Mānuka honeydew, Wai harakeke; Wai kaihua; Wai kōrari, Mānuka + Wai honga
Pihareinga, Crickets, , Aitanga pepeke
Pihepihe, Cloaks, , Pureke
Pīhuka, , , Taputapu hī ika
Pikopiko," Ferns, Shield; Shield ferns", Pikopiko (Kai), Huruhuru whenua
Pikopiko (Kai)," Makawe o Raukatauri; Fern shoots; Shoots, Fern", Haumie-Tiketike; Mouku; Pikopiko, Kai
Pīngao, Pīnao, Toetoe, Whara
Pininga, , Puna waimāori, Manga
Pipi, , Kaimoana, Ngā uri o Tangaroa
Pīpī heihei, Chickens, Heihei; Tame heihei, Manu pāmu
Pīpipi," Brown creepers; Creepers, Brown", , Manu ngahere
Pīpīwharauroa," Cuckoos, Shining; Shining cuckoos", , Manu ngahere
Pirikahu," Buttercups, Hairy; Hairy buttercups", , Otaota
Pirinoa, Pirirangi; Pirita; Mistletoes, , Otaota hāwere
Piripiri, Piriwhetua; Bidibids, , Otaota
Pītau, , , Hua whenua
Piupiu," Flax skirts; Skirts, Flax", Kapa haka, Whatu kākahu
Poaka, Kunekune; Poaka puihi; Boars; Pigs; Swine, , Kararehe whāngote
Poaka (Manu)," Pied stilts; Stilts, Pied", , Manu waimāori
Pōhā, Kelp bags, , Hinu kai
Pohewa, Imagination, , Hinengaro
Pohoriki," Grey teals; Teals, Grey", , Manu waimāori
Pohowera," Banded dotterels; Dotterels, Banded", , Manu ki tātahi
Pōhutukawa," Christmas trees, New Zealand; New Zealand Christmas trees", , Rākau whakaruruhau
Poi, , Kapa haka; Karakia; Raupō; Rotarota, Mahi ā Rēhia + Taonga pūoro
Poi tarawhiti, Neti paoro; Netipōro; Netball, , Hākinakina
Poiāwhiowhio," Gourd instruments; Instruments, Gourd", Hinepūtehue; Hue puruhau; Hue puruwai; Hūruarangi; Ororuarangi; Ponga ihu; Rarā, Taonga pūoro
Poihau wera," Balloons, Hot air; Hot air balloons", , Waka
Poiwhana, Soccer, , Hākinakina
Pōkai ātea, Space probes, Ātea, Waka tuarangi
Pokotiwha," Tawhaki; Fiordland crested penguins; Penguins, Fiordland crested", , Manu moana
Ponaturi," Fairies, Sea; Sea fairies", Moana; Patupaiarehe, Ao wairua
Ponga ihu," Flutes, Nose; Gourd instruments; Instruments, Gourd; Nose flutes", Hinepūtehue; Hineraukatauri; Hue; Hue puruhau; Hue puruwai; Kōauau; Nguru; Ororuarangi; Poiāwhiowhio; Pōrutu; Pūmotomoto; Pūtōrino; Rarā; Rehu, Taonga pūoro
Pongiangia," Tattoos, Facial", , Tā moko (Tā ngira) + Tā moko (Uhi)
Pōpokotea, Whiteheads, , Manu ngahere
Pora," Canoes, Ocean-going; Ocean-going canoes", Waka hourua; Waka taurua, Waka
Poraka, Kirihātua; Pēpeketua; Purutanga; Frogs, , Aitanga pepeke
Pōrangi, Mental illness, , Hauora hinengaro
Porokaiwhiri, Kaiwhiri; Kōporokaiwhiri; Pōporokaiwhiri; Porokaiwhiria; Pigeonwoods, , Rākau whakauru
Poropiti, Prophets, , Hāhi Māori
Poroporo, Nightshades, , Mauwha
Poroporoaki," Ceremonies, Closing; Closing ceremonies; Farewell", Maimai aroha, Pōwhiri + Whaikōrero
Porotiti, Whizzers, Hūruarangi; Pūrerehua (Taonga pūoro); Rongoā, Hauora + Taonga pūoro
Pōrutu, Flutes, Hineraukatauri; Kōauau; Kōauau ponga ihu; Kōiwi tōroa; Nguru; Ororuarangi; Ponga ihu; Pūmotomoto; Pūtōrino; Rehu, Taonga pūoro
Pōti whānui," Elections, General; General elections", , Kōwhiringa pōti
Pōtitanga, Voting, Pāremata, Kōwhiringa pōti + Mana whakahaere
Pōtitanga ohorere Pāremata," By-elections, Parliamentary; Parliamentary by-elections", Pāremata, Kōwhiringa pōti
Pou rāhui," Marker posts; Posts, Marker", , Whenua rāhui
Pouaka whakaata, Television, Kaipāho; Kaiwhakaari; Kawe kōrero; Pūrongorongo; Toi whakaari; Whakaahua, Pāpāho
Pounamu, Greenstone; Jade, Hei matau; Hei tiki; Kapeu; Kuru pounamu; Pekapeka (Whakakai), Kōhatu
Poupou," Ngā pou o roto; Carved posts; Posts, Carved", , Whare whakairo
Pōuri, Grief, Hauora hinengaro; Hauora wairua, Aronganui
Poutahuhu, , , Whare whakairo
Poutama, Lattice work patterns, , Tukutuku
Poutokomanawa, , , Whare whakairo
Poutoti, Totitoti; Waewae rākau; Stilt walking; Stilts, , Mahi ā Rēhia
Poutuarongo, , , Whare whakairo
Pouwhenua, , Mau pouwhenua; Taiaha, Rākau ā Tū
Pōwhiri," Ceremonies, Welcome; Welcome ceremonies; Pō iri; Pōhiri; Pōwiri", Haka pōwhiri; Karakia; Manuhiri, Kawa + Tikanga
Pū wairākau, Composting, , Ahu māra
Puanga, Rigel, , Whetū
Pūhā, Thistles, Rongoā, Otaota (Kai)
Pūhā pororua," Sow thistles; Thistles, Sow", , Pūhā
Pūhā tiotio," Kautara; Prickly sow thistles; Sow thistles, Prickly; Thistles, Prickly sow", , Pūhā pororua
Pūharakeke," Kaingārā; Puhikorokoro; Morays, Yellow; Yellow morays", , Tuna
Puhi, , , Wāhine
Puhi waka, , Pūrere; Raukura, Waka
Puhiariki, Feather streamers (War canoes), Puhirere; Raukura; Taurapa, Waka taua
Puhirere, Feather streamers (Canoes), Puhiariki; Raukura, Waka
Pūhoro," Tattoos, Thigh", , Tā moko (Tā ngira) + Tā moko (Uhi)
Puia kai, Cooking (Geothermal springs); Cooking (Hot springs); Geothermal springs cooking; Hot springs cooking, , Tunu kai
Pūkaea," Instruments, Wooden; Trumpets; Wooden instruments", Pahū; Tānemāhuta; Tūmatakōkiri, Taonga pūoro
Pūkana, , , Waiata ā ringa
Pukanui, Puka, , Rākau whakauru
couldn't find 0xa0 in g0=66 g1=69,,,
Pukapuka kāhui kōrero, Koioranga; Rārangi pukapuka; Bibliographies, , Tuhinga kōrero
Pukapuka whakaahua," Pukapuka pikitia; Books, Picture; Picture books", Pakiwaituhi; Tango whakaahua; Whakaahua, Tuhinga kōrero
Pūkatokato, Desolation; Grief, Hauora hinengaro; Hauora wairua, Aronganui
Pūkeko," Pākura; Hens, Swamp; Swamp hens; Pūkaki", Pakura, Manu repo
Pūkengatanga, Expertise, Kura tuarua; Kura tuatoru; Mana tangata; Pūmanawa; Whare wānanga; Wharekura, Mātauranga
Pūkohu, Pūkahu; Pūkohukohu; Toropapa pūkahu; Mosses, Aka; Huruhuru whenua; Mauwha; Otaota; Otaota hāwere; Whara, Te Wao nui a Tāne
Pūkōrero, Orators, Whaikōrero, Tāngata
Pūkoro," Tattoos, Facial", , Tā moko (Tā ngira) + Tā moko (Uhi)
Pūmanawa," Parapara (Pūmanawa); Giftedness; Natural talents; Talents, Natural", Mōhiotanga; Pūkengatanga, Mana tangata
Pūmanawa tautono," Taupānga; Applications, Software; Apps, Mobile; Mobile apps; Software applications", , Hangarau mōhiohio
Pūmoana," Instruments, Shell; Shell instruments; Trumpets", Hinemoana; Pūpakapaka; Pūtātara; Tangaroa, Taonga pūoro
Pūmotomoto, Flutes, Hineraukatauri; Kōauau; Kōauau ponga ihu; Nguru; Ororuarangi; Ponga ihu; Pōrutu; Pūtōrino; Rehu, Taonga pūoro + Whare whakairo
Pūmotu," Chemical elements; Elements, Chemical", , Mātauranga matū
Pūmua," Particles, Preceding; Preceding particles", , Wetereo
Pūmuri," Following particles; Particles, Following", , Wetereo
Puna waimāori," Kōmanawa; Manawa whenua; Matatiki; Mātāwai; Wai puna; Freshwater springs; Springs, Freshwater", Pininga; Waiariki, Wai
Pūnaha arahau, Ara whēkau; Respiratory system, , Tinana
Pūnaha toto, Ara toto; Cardiovascular system; Circulatory system, , Tinana
Pūnaha ture taihara, Tīpokapoka o te ture; Criminal justice system, Hara; Ture hara, Ture
Punga (Waka), Anchor-stones, Maehe, Waka
Pūngao, Energy, , Pūtaiao
Pūngao hiko," Electrical energy; Energy, Electrical", Hiko; Pūngao karihi; Pūngao kōmaru, Pūngao
Pūngao karihi," Energy, Nuclear; Nuclear energy", Pūngao hiko; Pūngao kōmaru, Pūngao
Pūngao kōmaru," Energy, Solar; Solar energy", Pūngao hiko; Pūngao karihi; Rā; Tama-nui-te-rā, Pūngao
Pūngao ngāwhā," Pūngao puia; Energy, Geothermal; Geothermal energy", Papatūānuku; Rūaumoko; Whenua, Pūngao
Pungāwerewere, Pūngaiwerewere; Spiders, , Aitanga pepeke
Pūoro, Music, Pūoro ā rorohiko; Pūoro reo; Pūoro tene; Taonga pūoro, Mahi ā Rēhia + Waka toi
Pūoro ā rorohiko," Electronic music; Music, Electronic", Pūoro; Taonga whakatangitangi, Waka toi
Pūoro ataata," Music videos; Videos, Music", , Kiriata + Waiata
Pūoro reo," Instrumental music; Music, Instrumental", Pūoro; Taonga whakatangitangi; Waiata, Taonga pūoro
Pūoro tene," Ani titiko; Wai oro tene; Improvised music; Jazz; Music, Improvised", Pūoro, Waka toi
Pūpakapaka," Instruments, Shell; Shell instruments; Trumpets", Hinemoana; Pūmoana; Pūtātara, Taonga pūoro
Pūpū, Molluscs, , Pūtaiao
Pūpū harakeke," Flax snails; Snails, Flax", Pūpū harakeke (Taonga pūoro), Pūpū whenua
Pūpū harakeke (Taonga pūoro)," Pūpū whakarongo taua; Instruments, Shell; Shell instruments", Karanga manu; Karanga weka; Pūpū harakeke; Pūpū kauri; Tānetuarōria (Taonga pūoro); Tuaroria, Taonga pūoro
Pūpū kauri," Pūpū rangi (Taonga pūoro); Instruments, Shell; Shell instruments", Karanga manu; Karanga weka; Pūpū harakeke (Taonga pūoro); Pūpū rangi; Tānemāhuta; Tānetuarōria (Taonga pūoro); Tuaroria, Taonga pūoro
Pūpū rangi," Kauri snails; Snails, Kauri", Pūpū kauri, Pūpū whenua
Pūpū waitai, , , Ngā uri o Tangaroa + Pūpū
Pūpū whenua, Snails, , Pūpū
Pūrākau, Legends; Myths, Hawaiiki; Ōrokohanga o te ao; Pakiwaitara; Tuhinga auaha; Tumu kōrero, Tuhinga kōrero
Purapura whetū, Lattice work patterns, , Tukutuku
Pureke," Capes, Rain; Rain capes", , Whatu kākahu
Pūrere, , Puhi waka; Raukura, Waka
Pūrerehua, Butterflies; Moths, , Aitanga pepeke
Pūrerehua (Taonga pūoro), Bullroarers; Whizzers; Rangorango, Hūruarangi; Porotiti, Taonga pūoro
Pūriri, , , Rākau whakaruruhau
Pūrongorongo, Current events, Moheni; Nūpepa; Pouaka whakaata; Reo irirangi, Ao pāpāho
Pūru, , Kau; Kāwhe, Kararehe whāngote
Pūtaiao, Science, Atua; Rūaumoko; Taiao; Whānau mārama,
Pūtake," Aruhe; Korare; Root vegetables; Vegetables, Root", Otaota (Kai), Hua whenua
Pūtangitangi," Ducks, Paradise; Paradise ducks", , Manu waimāori
Putaputāwētā, Kaiwētā; Piripiriwhata; Punawētā; Marbleleaves, , Rākau whakauru
Pūtātara," Pūtara; Instruments, Shell; Shell instruments; Trumpets; Potipoti", Hinemoana; Pūmoana; Pūpakapaka, Taonga pūoro
Pūtea, Finance, Ōhanga; Rēti whare; Tāke, Umanga
Putiputi, Flowers, , Te Wao nui a Tāne
